organism,perc_monthly_min_0,perc_monthly_min_05,median_monthly_min,mean_monthly_min,perc_monthly_min_95,perc_monthly_mean_05,median_monthly_mean,mean_monthly_mean,perc_monthly_mean_95,perc_monthly_max_05,median_monthly_max,mean_monthly_max,perc_monthly_max_95,perc_monthly_max_100,n_records,spp_rank
Chorda filum,-1.7999999523162842,1.0221846103668213,3.4976091384887695,4.894438028499002,9.142229080200195,7.444959590832393,10.089980940024057,10.232571854691749,12.698356628417969,13.716163635253906,17.58172607421875,17.132749534987184,19.391799926757812,26.604110717773438,14406,15
Lacuna vincta,-1.7999999523162842,0.621585488319397,7.666995048522949,6.21705804321655,8.8754301071167,7.927187701066335,10.5453249613444,10.314249854354376,12.3554638226827,13.130786895751953,14.915719985961914,15.488005726281987,18.701679229736328,23.96517562866211,1720,16
Chordaria flagelliformis,-1.385711669921875,1.494827389717102,3.2107410430908203,3.991729107487466,8.319527626037598,9.698655939102172,10.490787625312805,10.397836476253561,11.511974493662516,13.356098175048828,18.22234344482422,17.249110239891838,19.611995697021484,20.760990142822266,767,17
Mytilus edulis,-1.7999999523162842,1.1800148487091064,3.7584176063537598,4.911419861944002,9.477745056152344,8.143277357021967,10.304179807504019,10.46548337372312,13.058243354161581,14.084474563598633,17.864898681640625,17.486252620471046,20.22367286682129,30.14795684814453,57328,18
Spongomorpha aeruginosa,0.621585488319397,1.52698450088501,4.696569442749023,4.797451143794589,8.280229759216308,9.098196228345236,10.701262474060059,10.491419809014218,11.511974493662516,13.517966270446777,16.957002639770508,16.660095151265462,19.09649085998535,20.338863372802734,405,19
Henricia sanguinolenta,-1.25042724609375,4.944842910766602,7.399298667907715,7.163272669560542,8.9659576416015625,9.230527114868163,10.592700918515524,10.563396455030109,11.871908028920492,12.270133972167969,14.915719985961914,14.741936858844634,17.206893920898438,20.460994720458984,773,20
Mya arenaria,-1.7999999523162842,0.8507838249206543,3.7102653980255127,4.180080475297262,8.65390396118164,8.533963948488235,10.507654984792074,10.57630624682166,12.706179857254028,15.522733688354492,18.19927215576172,18.131857071733823,20.680572509765625,28.413036346435547,23096,21
Ulva intestinalis,-1.7999999523162842,0.42502444982528687,6.997865200042725,5.571485694140301,10.283360481262207,7.26540211836497,10.648999015490213,10.667179781489516,14.072728236516317,13.572798728942871,17.135770797729492,17.15407040945913,20.289379119873047,30.593765258789062,5387,22
Alaria esculenta,-1.7999999523162842,0.16422221064567566,7.9013352394104,7.41274785390717,9.908567428588867,6.7799668644244475,10.859924952189127,10.738772926367327,13.222412355740865,12.734335899353027,14.698409080505371,14.86024508964571,17.59441375732422,18.695693969726562,2119,23
Cladophora rupestris,-1.7999999523162842,1.0682940483093262,6.823279857635498,5.877729269579741,10.935442924499512,7.865950047473113,10.701262474060059,10.900940210130633,14.454738855361938,13.49194622039795,17.638322830200195,17.13970802375021,19.876140594482422,26.528276443481445,11069,24
Hildenbrandia rubra,-1.7999999523162842,0.621585488319397,4.374311447143555,5.527800578042544,11.200098991394043,7.376202583312988,10.701262474060059,10.966566405623446,14.793870687484741,13.711183547973633,18.017242431640625,17.540521438082333,19.876140594482422,29.517248153686523,9546,25
Skeneopsis planorbis,-1.7999999523162842,6.81043815612793,7.893658638000488,7.84066393549143,9.086849212646484,9.847927769025167,10.74283222357432,10.985689128298475,12.672546903292337,13.19975471496582,14.377209663391113,14.561740101751207,16.57903289794922,24.763507843017578,741,26
Nucella lapillus,-0.8294677734375,4.658835411071777,7.8720173835754395,7.509638126788968,9.477745056152344,8.971075693766275,10.82562224070231,11.006653133743661,13.021816651026407,12.952544212341309,15.050285339355469,15.177751794384097,18.36916160583496,22.298324584960938,26820,27
Bangia atropurpurea,0.621585488319397,0.621585488319397,7.959869384765625,7.130556302734568,11.579608917236328,7.934500152866046,10.93524142106374,11.060465770777519,14.904144883155823,13.19975471496582,15.188885688781738,15.793013083783887,20.26594305038453,27.403106689453125,158,28
